content,score,thumbsUpCount,at,texto_Traducido
"Costumava ser um ótimo app, mas agora estão cada vez mais inventando problemas e vendendo as soluções em seus pacotes premium. A versão gratuita está super estressante de usufruir e quase inutilizada.",1,1,01/05/2024 23:37,"Costumava ser um ótimo app, mas agora estão cada vez mais inventando problemas e vendendo as soluções em seus pacotes premium. A versão gratuita está super estressante de usufruir e quase inutilizada."
"Toda atualização um problema diferente,antes era as propagandas e login com a conta agora e enviar e receber mensagem ou ""taps"". Fica complicado continuar usando esse aplicativo",1,2,01/05/2024 19:48,"Toda atualização um problema diferente,antes era as propagandas e login com a conta agora e enviar e receber mensagem ou ""taps"". Fica complicado continuar usando esse aplicativo"
"Experiência péssima. Anúncios excessivos, vários bugs entre outros problemas. Sugiro que todos migrem para o The Blowers e deixem de lado esse app.",1,1,01/05/2024 19:01,"Experiência péssima. Anúncios excessivos, vários bugs entre outros problemas. Sugiro que todos migrem para o The Blowers e deixem de lado esse app."
"App bugado a quase dois meses, já fiz tudo que é possivel mas não consigo resolver o problema.",2,0,01/05/2024 18:45,"App bugado a quase dois meses, já fiz tudo que é possivel mas não consigo resolver o problema."
"Estou com problemas com o aplicativo ele não para aberto na minha conta, toda vez que abro ele fecha sozinho.",1,0,01/05/2024 18:26,"Estou com problemas com o aplicativo ele não para aberto na minha conta, toda vez que abro ele fecha sozinho."
Une vraie catastrophe pour s inscrire jamais rien ne va ! L adresse mail le numéro de téléphone le mot de passe. Si on s inscrit via Google ou Facebook on reçois un message que l on a enfrain les condition de l application. Si vous avez la chance d ouvrir on est coupé en permanence par de la publicité. Ne parlons même pas des faux profils à volonté ! À fuir et choisir hornet qui est la meilleure application.,1,2,15/05/2024 17:33,Une vraie catastrophe pour s inscrire jamais rien ne va ! L adresse mail le numéro de téléphone le mot de passe. Si on s inscrit via Google ou Facebook on reçois un message que l on a enfrain les condition de l application. Si vous avez la chance d ouvrir on est coupé en permanence par de la publicité. Ne parlons même pas des faux profils à volonté ! À fuir et choisir hornet qui est la meilleure application.
Y'a un problème dans l'application j'arrive pas à discuter !!!!!,1,1,14/05/2024 19:57,Y'a un problème dans l'application j'arrive pas à discuter !!!!!
"Des problèmes de connexion, les pages ne s'actualisent pas, et pour couronner le tout aucune assistance correcte, un abonnement qui ne s'actualise pas etc etc, et tout ça même avec un abonnement, grindr a pris la grosse tête.",1,3,13/05/2024 15:22,"Des problèmes de connexion, les pages ne s'actualisent pas, et pour couronner le tout aucune assistance correcte, un abonnement qui ne s'actualise pas etc etc, et tout ça même avec un abonnement, grindr a pris la grosse tête."
"Appli très toxique, à éviter sauf si vous avez un kink pour l'humiliation, les signalement ne mènent à rien, trafic de drogue, prostitution, si tu as le malheur de dire ""non"" à un homme frustré c'est menaces de meurtre ou de viol, peu importe l'endroit, et encore une fois les signalement n'aboutissent à rien du tout et ces danger public continuent d'être sur l'application ! C'est bien pour les porcs munis d'une bite à la place du cerveau",1,3,12/05/2024 06:45,"Appli très toxique, à éviter sauf si vous avez un kink pour l'humiliation, les signalement ne mènent à rien, trafic de drogue, prostitution, si tu as le malheur de dire ""non"" à un homme frustré c'est menaces de meurtre ou de viol, peu importe l'endroit, et encore une fois les signalement n'aboutissent à rien du tout et ces danger public continuent d'être sur l'application ! C'est bien pour les porcs munis d'une bite à la place du cerveau"
"J'adore cette application , l'endroit où les gens niaise et il y a beaucoup trop de publicité.",3,0,10/05/2024 21:34,"J'adore cette application , l'endroit où les gens niaise et il y a beaucoup trop de publicité."
J adore je recommande l application au gay kiss,5,0,09/05/2024 15:32,J adore je recommande l application au gay kiss
L'agression avec les pubs c'est un truc de ouf... tu te mange une pub (que je skip direct d'ailleurs) a chaque fois que tu quitte une une discussion 🤯,1,2,09/05/2024 10:15,L'agression avec les pubs c'est un truc de ouf... tu te mange une pub (que je skip direct d'ailleurs) a chaque fois que tu quitte une une discussion 🤯
"Rebelote Vous recommencez à bannir sans la moindre raison !! #antidemocratie #bannissement totalitaire et arbitraire SANS RAISON #insultes racistes régulières #bugs en tous genres, localisation approximative..... c'est vraiment mauvais. Montrez moi les propos haineux que j'aurais tenus !!!👀👀",1,7,06/05/2024 17:40,"Rebelote Vous recommencez à bannir sans la moindre raison !! #antidemocratie #bannissement totalitaire et arbitraire SANS RAISON #insultes racistes régulières #bugs en tous genres, localisation approximative..... c'est vraiment mauvais. Montrez moi les propos haineux que j'aurais tenus !!!👀👀"
We start hate this app everything be paid even a simple things be extra,1,1,03/05/2024 02:28,We start hate this app everything be paid even a simple things be extra
Bugs réguliers GPS toujours en retard..profil fake a foison...assez navrant- toujours d évolution- pas de geoloc sur les favories- resultats de recherche pollués par les profils booster sans aucun rapport avec la recherche Les connectés sont en général avec des pofils vides donc galère pour y retrouver qq1- toujours pas de positionnement des profils sur une carte!!! Et pourtant... malgré les manques l appli est un gouffre pour la batterie...,1,3,02/05/2024 07:50,Bugs réguliers GPS toujours en retard..profil fake a foison...assez navrant- toujours d évolution- pas de geoloc sur les favories- resultats de recherche pollués par les profils booster sans aucun rapport avec la recherche Les connectés sont en général avec des pofils vides donc galère pour y retrouver qq1- toujours pas de positionnement des profils sur une carte!!! Et pourtant... malgré les manques l appli est un gouffre pour la batterie...
i l ya un problème sur les messages il sortie,2,2,01/05/2024 09:17,i l ya un problème sur les messages il sortie
"Problème de connexion depuis la dernière mise a jour, tres gros ralentissement parfois inutilisable. Parfois impossible de taper beaucoup de texte dans un chat et ça coupe. Sur Samsung Galaxy s8",3,0,30/04/2024 03:47,"Problème de connexion depuis la dernière mise a jour, tres gros ralentissement parfois inutilisable. Parfois impossible de taper beaucoup de texte dans un chat et ça coupe. Sur Samsung Galaxy s8"
Vos 5 ou 6 dernières mises à jour ont apporté plus de problèmes qu'elles en ont résolu... À chaque fois que vous en faite une on découvre un nouveau bug qu'on avait pas avant! Vous vous surpassez à chaque fois 😂,1,35,28/04/2024 04:12,Vos 5 ou 6 dernières mises à jour ont apporté plus de problèmes qu'elles en ont résolu... À chaque fois que vous en faite une on découvre un nouveau bug qu'on avait pas avant! Vous vous surpassez à chaque fois 😂
"L'appli rencontre trop de problème depuis plusieurs semaines, chaque mise à jour apporte un problème en même temps d'en corriger un autre. Sur la dernière MaJ on est renvoyé hors des conversations à intervalle de temps régulier et court qui plus est donc quasi plus possible de faire une conversation. Vraiment dommage cet enchaînement de bug MaJ après MaJ. J'e",2,1,27/04/2024 13:57,"L'appli rencontre trop de problème depuis plusieurs semaines, chaque mise à jour apporte un problème en même temps d'en corriger un autre. Sur la dernière MaJ on est renvoyé hors des conversations à intervalle de temps régulier et court qui plus est donc quasi plus possible de faire une conversation. Vraiment dommage cet enchaînement de bug MaJ après MaJ. J'e"
"La nouvelle version est devenue une machine infernale à publicité. Je veux bien croire qu'ils aient besoin de la pub pour vivre, mais une pub à chaque fermeture d'une conversation, c'est du harcèlement, de plus à chaque maj, ils bloquent ou restreignent les options. Bientôt cette application sera totalement payante. 🤮🤮🤮🤮 Quelqu'un connaîtrait une autre app plus intéressante ?",1,116,27/04/2024 09:58,"La nouvelle version est devenue une machine infernale à publicité. Je veux bien croire qu'ils aient besoin de la pub pour vivre, mais une pub à chaque fermeture d'une conversation, c'est du harcèlement, de plus à chaque maj, ils bloquent ou restreignent les options. Bientôt cette application sera totalement payante. 🤮🤮🤮🤮 Quelqu'un connaîtrait une autre app plus intéressante ?"
Moyen. L'application à plusieurs problèmes de connexion et est souvent inutilisable...on doit sans cesse redémarrer.,1,0,26/04/2024 09:48,Moyen. L'application à plusieurs problèmes de connexion et est souvent inutilisable...on doit sans cesse redémarrer.
"Grindr is risking the safety of those who need to maintain some discretion. Can you imagine in a country that persecutes anybody who is gay? It's deplorable 🤮 As of now I am only able to use the app when I am not home nor at work so that nobody around me in those two places can spot me nearby. It's difficult to justify usage of an app that limits its usage this way, let alone pay for it. I may just move to other apps entirely. I guess it's time to restore grindr and accept mock location!!!!",1,0,25/04/2024 15:58,"Grindr is risking the safety of those who need to maintain some discretion. Can you imagine in a country that persecutes anybody who is gay? It's deplorable 🤮 As of now I am only able to use the app when I am not home nor at work so that nobody around me in those two places can spot me nearby. It's difficult to justify usage of an app that limits its usage this way, let alone pay for it. I may just move to other apps entirely. I guess it's time to restore grindr and accept mock location!!!!"
Nul pleins de faux profils et d'escrocs et voleurs.,1,0,25/04/2024 15:16,Nul pleins de faux profils et d'escrocs et voleurs.
Pourri pourri de chez pourri plein de bugs. Ça ne veut pas se connecter se connecter avec une fausse localisation alors que ce n'est pas leur problème. Et la maintenant ça ne fonctionne pas si on se connecte via wifi autre qu'au domicile (sncf en particulier). Deja que c'est bourré de bugs et bugs alors aucun intérêt de payer pour subir ces désagréments jamais résolus. Alors la version gratuite censée montrer 100 personnzs autour c'est en réalité 40 ou 50... Dommage j'étais prêt à payer!,1,36,22/04/2024 09:07,Pourri pourri de chez pourri plein de bugs. Ça ne veut pas se connecter se connecter avec une fausse localisation alors que ce n'est pas leur problème. Et la maintenant ça ne fonctionne pas si on se connecte via wifi autre qu'au domicile (sncf en particulier). Deja que c'est bourré de bugs et bugs alors aucun intérêt de payer pour subir ces désagréments jamais résolus. Alors la version gratuite censée montrer 100 personnzs autour c'est en réalité 40 ou 50... Dommage j'étais prêt à payer!
Bonjour à tous je ne sais pas vous mais moi je n'arrive plus à me connecter sur le site ça me dit qu'il y a un problème qui vient de chez eux mais ça fait 15 jours que j'arrive pas du tout à aller sur le site 😱😡 c'est la première fois que ça m'arrive bonne journée à vous,1,2,20/04/2024 04:37,Bonjour à tous je ne sais pas vous mais moi je n'arrive plus à me connecter sur le site ça me dit qu'il y a un problème qui vient de chez eux mais ça fait 15 jours que j'arrive pas du tout à aller sur le site 😱😡 c'est la première fois que ça m'arrive bonne journée à vous
Une application super cool et j'adore 🥰,5,0,15/04/2024 21:01,Une application super cool et j'adore 🥰
Je n'ai jamais vu une appli de tchat/rencontre avec autant de bug aussi récurrent ! Je remettrai 5 étoiles quand on passera au moins 2 mois sans problèmes,3,8,14/04/2024 01:36,Je n'ai jamais vu une appli de tchat/rencontre avec autant de bug aussi récurrent ! Je remettrai 5 étoiles quand on passera au moins 2 mois sans problèmes
Full of bugs. Xtra subscription is not applied. You pay for nothing. It's a real disgraceful scam.,1,0,13/04/2024 16:37,Full of bugs. Xtra subscription is not applied. You pay for nothing. It's a real disgraceful scam.
J'adore,5,0,13/04/2024 04:27,J'adore
"Big performance problem since last app update ! Those last days, grindr propose some app updates to fix bugs, but it gets worse and worse at each time ! Synchronisation proplems, messages not sent or received. I hope your gonna fix this because it's becoming really annoying ... :/",2,2,12/04/2024 11:13,"Big performance problem since last app update ! Those last days, grindr propose some app updates to fix bugs, but it gets worse and worse at each time ! Synchronisation proplems, messages not sent or received. I hope your gonna fix this because it's becoming really annoying ... :/"
Application problématique,1,1,08/04/2024 03:14,Application problématique
"Esta fatal la aplicación, no se puede chatear, el chat se pierde, no llega, no escribes 😡 malisima, no se que pasa",1,0,07/04/2024 15:48,"Esta fatal la aplicación, no se puede chatear, el chat se pierde, no llega, no escribes 😡 malisima, no se que pasa"
Grindr qui bloque ton profil sans raison... Leurs politique de sécurité est vraiment mauvaise et leurs réponses sont bidons bref comme ils ont bloquer mon tel je ne peux plus me connecter... et bien sûr personne ne réponds,1,1,05/04/2024 19:37,Grindr qui bloque ton profil sans raison... Leurs politique de sécurité est vraiment mauvaise et leurs réponses sont bidons bref comme ils ont bloquer mon tel je ne peux plus me connecter... et bien sûr personne ne réponds
problème message vocal,5,1,05/04/2024 16:56,problème message vocal
"Je trouve que l'application a énormément évoluée surtout au niveau de la version gratuite c'est plus fluide ,il y'a aussi beaucoup moins de Fake et de personnes malintentionnés qui essaient d'arnaquer les gens depuis la récente mise à jour , un grand bravo pour les modérateurs , il ne manque juste le fait de mettre une option qui permet au gens de choisir si il veulent voir les nudes envoyés sans consentement, et c'est nickel.",4,51,03/04/2024 21:03,"Je trouve que l'application a énormément évoluée surtout au niveau de la version gratuite c'est plus fluide ,il y'a aussi beaucoup moins de Fake et de personnes malintentionnés qui essaient d'arnaquer les gens depuis la récente mise à jour , un grand bravo pour les modérateurs , il ne manque juste le fait de mettre une option qui permet au gens de choisir si il veulent voir les nudes envoyés sans consentement, et c'est nickel."
Nul bloqué sans raison et accuse les gens d'escroquerie d'autres d'autres applications similaire sont bien plus honnêtes,1,3,03/04/2024 17:25,Nul bloqué sans raison et accuse les gens d'escroquerie d'autres d'autres applications similaire sont bien plus honnêtes
Problème dans l extra paye,5,0,03/04/2024 11:03,Problème dans l extra paye
"Les dernières mises à jour ont apporté des bugs, dont 1 très problématique : on ne peut plus voir les discussions à partir d'un profil,on est obligé de passer par le fil des discussions (uniquement Android)",2,2,03/04/2024 05:15,"Les dernières mises à jour ont apporté des bugs, dont 1 très problématique : on ne peut plus voir les discussions à partir d'un profil,on est obligé de passer par le fil des discussions (uniquement Android)"
J'adore c'est très bien!,5,0,01/04/2024 23:52,J'adore c'est très bien!
"Des escrocs ! Tu payes cher pour une legere amelioration de voir plus de profiles mais c'est tout, tu restes bloqué pour voir qui est venu te visiter par exemple. A moins de payer TRES cher mensuellement. LAMENTABLE !",1,0,01/04/2024 12:50,"Des escrocs ! Tu payes cher pour une legere amelioration de voir plus de profiles mais c'est tout, tu restes bloqué pour voir qui est venu te visiter par exemple. A moins de payer TRES cher mensuellement. LAMENTABLE !"
"A rare case of whatever they do, it just gets worse. But they got a monopoly out of habit from gays so they don't care",1,2,31/03/2024 15:50,"A rare case of whatever they do, it just gets worse. But they got a monopoly out of habit from gays so they don't care"
"Très mauvaise expérience , impossible de créer un compte , on nous demande sans cesse de prouver que l'on est pas un robot...de toutes les applications , certainement la plus nulle de toutes",1,1,31/03/2024 15:04,"Très mauvaise expérience , impossible de créer un compte , on nous demande sans cesse de prouver que l'on est pas un robot...de toutes les applications , certainement la plus nulle de toutes"
L'application et bien mais c'est cher et pas gratuit sa devrait être gratuit ou moins cher arrangé sa et la sécurité il faudrait la renforcer aussi s'il vous plaît et merci,1,0,30/03/2024 15:42,L'application et bien mais c'est cher et pas gratuit sa devrait être gratuit ou moins cher arrangé sa et la sécurité il faudrait la renforcer aussi s'il vous plaît et merci
"C'est du HARCÈLEMENT pour activer les notifications, littéralement un popup toutes les 2 actions C'est INSUPPORTABLE !!! Sans compter le nombre incalculable de pub toutes les 5sec qui durent une éternité !!!",1,2,30/03/2024 14:51,"C'est du HARCÈLEMENT pour activer les notifications, littéralement un popup toutes les 2 actions C'est INSUPPORTABLE !!! Sans compter le nombre incalculable de pub toutes les 5sec qui durent une éternité !!!"
Très bonne application mais énormément de problèmes de connexion en se moment,5,1,26/03/2024 10:08,Très bonne application mais énormément de problèmes de connexion en se moment
"J'ai rencontré un escort qui est venu a mon domicile.Une fois chez moi, il m'a volé chez moi ( HOM JACKING ) il utilise plusieurs comptes différents pour commettre ses délits Lorsqu'il a repris contact avec moi c'était pour m'annoncer que si je ne lui donnais pas d'argent il utiliserait la violence physique envers moi et il m'a menacé de me tuer. J'ai fais un signalement à Grindr pour qu'il soit exclus du site. Le site GRINDR ne l'exclus pas car il n'enfrain pas la politique interne de GRINDR,.",1,2,25/03/2024 02:23,"J'ai rencontré un escort qui est venu a mon domicile.Une fois chez moi, il m'a volé chez moi ( HOM JACKING ) il utilise plusieurs comptes différents pour commettre ses délits Lorsqu'il a repris contact avec moi c'était pour m'annoncer que si je ne lui donnais pas d'argent il utiliserait la violence physique envers moi et il m'a menacé de me tuer. J'ai fais un signalement à Grindr pour qu'il soit exclus du site. Le site GRINDR ne l'exclus pas car il n'enfrain pas la politique interne de GRINDR,."
J'adore,5,0,25/03/2024 00:09,J'adore
Très bon application mais il y a bcp des fraudeurs,5,0,24/03/2024 07:21,Très bon application mais il y a bcp des fraudeurs
"⚠️DOMMAGE QU'ON NE PUISSE PAS METTRE 0 !⚠️ PIRE app de chat et de marchandisation du corps et de rencontre, plus aucune sécurité, très mal fâmé... JAMAIS DE MISE À JOUR DEPUIS 10 ANS, sauf pour actualiser les pubs horribles et inutiles, vol et diffusion de nos données personnelles à des entreprises malveillantes, manque total de transparence. ET LE PIRE, VOTRE COMPTE SERA BLOQUÉ SANS AUCUNE RAISON ET SANS SAVOIR POURQUOI ET AUCUN RECOURS POSSIBLE CAR TOUT EST AUTOMATISÉ PAR UN BOT ! À FUIR !!! ⚠",1,252,23/03/2024 19:38,"⚠️DOMMAGE QU'ON NE PUISSE PAS METTRE 0 !⚠️ PIRE app de chat et de marchandisation du corps et de rencontre, plus aucune sécurité, très mal fâmé... JAMAIS DE MISE À JOUR DEPUIS 10 ANS, sauf pour actualiser les pubs horribles et inutiles, vol et diffusion de nos données personnelles à des entreprises malveillantes, manque total de transparence. ET LE PIRE, VOTRE COMPTE SERA BLOQUÉ SANS AUCUNE RAISON ET SANS SAVOIR POURQUOI ET AUCUN RECOURS POSSIBLE CAR TOUT EST AUTOMATISÉ PAR UN BOT ! À FUIR !!! ⚠"
nul et sais parce qu'on peut pas mettre zéro étoile il suffit qu'une personne vous signale parce que vous êtes pas intéressé et ont vous banni pour soi-disant escroquerie application a fuir ya d'autres applications plus sérieuse,1,3,22/03/2024 19:02,nul et sais parce qu'on peut pas mettre zéro étoile il suffit qu'une personne vous signale parce que vous êtes pas intéressé et ont vous banni pour soi-disant escroquerie application a fuir ya d'autres applications plus sérieuse
"Depuis ce matin il m'est impossible de me connecter avec mon compte Google, je tiens a rajouté que depuis un certains temps les message ne s'envoie pas obligé de quitter grindr pour revenir pour faire un renvoie de message. Ce serai fort sympathique si les problème peuvent être réglé",2,2,18/03/2024 14:11,"Depuis ce matin il m'est impossible de me connecter avec mon compte Google, je tiens a rajouté que depuis un certains temps les message ne s'envoie pas obligé de quitter grindr pour revenir pour faire un renvoie de message. Ce serai fort sympathique si les problème peuvent être réglé"
"Problème pour mettre des vidéos sur mon profils, il manquerai de proposer des lieux de rencontres ou de drague, voir même des salons de discussion, mettre en relation avec les associations locales et les aider, ou créer des collectif ou associations, mettre de l'événementiel local, force est constaté, que l'application se renouvelle pas vers de nouvelles capacités, elle vieillit et éloigne les gens. On se rapproche cruellement de skyrock ou MSN voir même Minitel.",2,4,18/03/2024 05:26,"Problème pour mettre des vidéos sur mon profils, il manquerai de proposer des lieux de rencontres ou de drague, voir même des salons de discussion, mettre en relation avec les associations locales et les aider, ou créer des collectif ou associations, mettre de l'événementiel local, force est constaté, que l'application se renouvelle pas vers de nouvelles capacités, elle vieillit et éloigne les gens. On se rapproche cruellement de skyrock ou MSN voir même Minitel."
"Trop de bug, les pubs à chaque fois qu'on quitte une conversation, les problèmes d'envoi de messages et j'en passe tout à déjà été dit mais rien n'est fait pour rectifier ça donc bon...",1,3,12/03/2024 17:28,"Trop de bug, les pubs à chaque fois qu'on quitte une conversation, les problèmes d'envoi de messages et j'en passe tout à déjà été dit mais rien n'est fait pour rectifier ça donc bon..."
J'adore les beaux mecs dessus malheureusement je regarde mais ne peux pas y toucher,5,0,08/03/2024 18:05,J'adore les beaux mecs dessus malheureusement je regarde mais ne peux pas y toucher
"Compte bloqué a cause de haters ... Bug a tout va.... Algorithme bidon, les profils qui seront susceptibles de nous plaire sont dans partie payante",1,14,07/03/2024 17:12,"Compte bloqué a cause de haters ... Bug a tout va.... Algorithme bidon, les profils qui seront susceptibles de nous plaire sont dans partie payante"
Toujours des problèmes de lenteur d'actualisation de la localisation ou les messages qui ne s'envoient pas ce qui oblige à attendre quelques minutes et redémarrer l'appli. Relou!,3,4,07/03/2024 11:23,Toujours des problèmes de lenteur d'actualisation de la localisation ou les messages qui ne s'envoient pas ce qui oblige à attendre quelques minutes et redémarrer l'appli. Relou!
"Pas mal, problème de paiement son cart bancaire, cherche essayé gratuit",4,0,29/02/2024 20:16,"Pas mal, problème de paiement son cart bancaire, cherche essayé gratuit"
"Une appli qui menace de banissement sans aucune raison valable et vérifiée. Une appli qui pratique l'intimidation et se croit au-dessus des lois. Une appli qui ne répond que par des banalités. Des pseudos régulateurs qui ne font pas leur boulot. De mauvaise, cette appli est devenu d'une médiocrité affligeante. Au lieu de bavarder, bossez ou partez faire autre chose. Trop de bugs, de la pub intempestive, des règles qui changent constamment sans avertissement, une appli qui cherche à faire du fric",1,10,27/02/2024 14:39,"Une appli qui menace de banissement sans aucune raison valable et vérifiée. Une appli qui pratique l'intimidation et se croit au-dessus des lois. Une appli qui ne répond que par des banalités. Des pseudos régulateurs qui ne font pas leur boulot. De mauvaise, cette appli est devenu d'une médiocrité affligeante. Au lieu de bavarder, bossez ou partez faire autre chose. Trop de bugs, de la pub intempestive, des règles qui changent constamment sans avertissement, une appli qui cherche à faire du fric"
"À quand la possibilité de signaler un compte qui vous a bloqué ? La personne vous insulte, menace ou autres puis vous bloque et là vous ne pouvez plus rien faire. Ce compte disparaît. Impossible de le signaler. Et à quand la création d'un compte avec scan de la pièce d'identité afin de protéger les utilisateurs contre les faux profils et spam ? Comme le fait Onlyfans et d'autres entreprises. Une pièce d'identité = un compte unique avec un identifiant unique. Et une sécurité contre les screenshot",1,7,25/02/2024 05:25,"À quand la possibilité de signaler un compte qui vous a bloqué ? La personne vous insulte, menace ou autres puis vous bloque et là vous ne pouvez plus rien faire. Ce compte disparaît. Impossible de le signaler. Et à quand la création d'un compte avec scan de la pièce d'identité afin de protéger les utilisateurs contre les faux profils et spam ? Comme le fait Onlyfans et d'autres entreprises. Une pièce d'identité = un compte unique avec un identifiant unique. Et une sécurité contre les screenshot"
********ATTENTION GRINDR VOLENT VOS DONNÉES PERSONNELS ET BANCAIRE ********,1,8,24/02/2024 13:55,********ATTENTION GRINDR VOLENT VOS DONNÉES PERSONNELS ET BANCAIRE ********
Ce site est devenue une vraie escroquerie ! Clôture apres 13 ans! d'utilisation du jour au lendemain sans explication.. à part une procedure automatique d'un logiciel et d'accusation sans fondement ! Pub idiotes pas ciblees constantes toujours plus de limites et de contraintes..et maintenant des jugements par un logiciel... Danger!,1,6,23/02/2024 13:52,Ce site est devenue une vraie escroquerie ! Clôture apres 13 ans! d'utilisation du jour au lendemain sans explication.. à part une procedure automatique d'un logiciel et d'accusation sans fondement ! Pub idiotes pas ciblees constantes toujours plus de limites et de contraintes..et maintenant des jugements par un logiciel... Danger!
"J'ai fait un abonnement d'un an et je ne vois que des gens qui habitent à 200 et+± km . Je vie à Phuket Thaïlande et ne vois pas les gens autour de cette ?? Pourquoi payer si je ne reçois et ne peut pas contacter les personnes près de moi . Veuillez vérifier ce problème merci , sinon je demanderai le remboursement total . Best Regards .Kamago",1,5,23/02/2024 05:49,"J'ai fait un abonnement d'un an et je ne vois que des gens qui habitent à 200 et+± km . Je vie à Phuket Thaïlande et ne vois pas les gens autour de cette ?? Pourquoi payer si je ne reçois et ne peut pas contacter les personnes près de moi . Veuillez vérifier ce problème merci , sinon je demanderai le remboursement total . Best Regards .Kamago"
J'adore chez Dior,5,1,17/02/2024 20:47,J'adore chez Dior
"Beaucoup trop de publicités de la part de bots... De nombreux Fake profils... Un système de vote biaisé : (Invitation à noter l'application par la question : ""aimez-vous l'application ? 1) ""bien sûr"" (renvoie sur la notation de l'appli) 2) ""plus tard""",2,0,13/02/2024 15:34,"Beaucoup trop de publicités de la part de bots... De nombreux Fake profils... Un système de vote biaisé : (Invitation à noter l'application par la question : ""aimez-vous l'application ? 1) ""bien sûr"" (renvoie sur la notation de l'appli) 2) ""plus tard"""
Problème j'arrive plu a me connecter sur grider,5,0,07/02/2024 14:22,Problème j'arrive plu a me connecter sur grider
"Ça fait ded jour que j'essaie de créé un compte sur l'application mais c'est impossible, a chaque fois on me balance erreur, je ne comprends rien du tout vraiment, essayer de vois le problème 😤😤😤",1,0,06/02/2024 17:39,"Ça fait ded jour que j'essaie de créé un compte sur l'application mais c'est impossible, a chaque fois on me balance erreur, je ne comprends rien du tout vraiment, essayer de vois le problème 😤😤😤"
"Bonjour, pu possible de s'inscrire sur grinder sa m'indiquer erreur compte même avec Facebook c'est un gros problème et personne pour m'aider. D'habitude pas de soucis pour changer. Un conseil serait sympa.",1,2,02/02/2024 14:42,"Bonjour, pu possible de s'inscrire sur grinder sa m'indiquer erreur compte même avec Facebook c'est un gros problème et personne pour m'aider. D'habitude pas de soucis pour changer. Un conseil serait sympa."
"J'adore l'app, le seul problème c'est qu'il y'a trop de bug, les images qu'on ne peu pas voir, les messages qui ne s'envoie pas, c'est vraiment dommage, je garde espoir quand même",3,5,30/01/2024 16:57,"J'adore l'app, le seul problème c'est qu'il y'a trop de bug, les images qu'on ne peu pas voir, les messages qui ne s'envoie pas, c'est vraiment dommage, je garde espoir quand même"
"App de plus en plus mercantile. 2 formules payantes; la première (abordable) 71,88€/an étant peu à peu vidée de sa substance pour forcer le passage à la plus honéreuse (42,99€/mois). Dans le même temps l'app est de plus en plus lente pour tout (affichage des messages et taps à l'ouverture, affichage des profils à l'entour), l'actualisation de la position est également de plus en plus retardée et devient vraiment problématique.",2,108,29/01/2024 13:19,"App de plus en plus mercantile. 2 formules payantes; la première (abordable) 71,88€/an étant peu à peu vidée de sa substance pour forcer le passage à la plus honéreuse (42,99€/mois). Dans le même temps l'app est de plus en plus lente pour tout (affichage des messages et taps à l'ouverture, affichage des profils à l'entour), l'actualisation de la position est également de plus en plus retardée et devient vraiment problématique."
Quand on regarde un profil a proximité il disparaît instantanément des qu on le recherche en mode normal lol Toujours des tours de passe passe à chaque mise a jour qui sont sensés faire évoluer mais non c est l inverse..,3,11,28/01/2024 14:09,Quand on regarde un profil a proximité il disparaît instantanément des qu on le recherche en mode normal lol Toujours des tours de passe passe à chaque mise a jour qui sont sensés faire évoluer mais non c est l inverse..
Site agréable et facile à utiliser prise en main rapide informations sur les profils pouvant être détaillé et niveau sécurité si quelqu'un nous convient pas on peut le bloquer aussi longtemps qu'on veut,5,13,27/01/2024 02:45,Site agréable et facile à utiliser prise en main rapide informations sur les profils pouvant être détaillé et niveau sécurité si quelqu'un nous convient pas on peut le bloquer aussi longtemps qu'on veut
"Problèmes avec les notifications, beaucoup de fakes, pub qui font bugger l'appli, les profils ne s'affichent pas toujours, la liste des profils n'arrive pas à se mettre à jour, erreur envoi de message, ... et la liste est encore extrêmement longue",1,6,24/01/2024 09:02,"Problèmes avec les notifications, beaucoup de fakes, pub qui font bugger l'appli, les profils ne s'affichent pas toujours, la liste des profils n'arrive pas à se mettre à jour, erreur envoi de message, ... et la liste est encore extrêmement longue"
il y a toujours ce problème récurrent des messages qu'on envoi qui bugue et nous force a fermer l'application et la réouvrir pour renvoyer le message,3,4,22/01/2024 17:25,il y a toujours ce problème récurrent des messages qu'on envoi qui bugue et nous force a fermer l'application et la réouvrir pour renvoyer le message
Beaucoup de problèmes avec l application. Impossible de l ouvrir.,1,1,19/01/2024 04:00,Beaucoup de problèmes avec l application. Impossible de l ouvrir.
Cette application serai bien mais le gros problème des personne ( pervers) nous envoyer des choses que l on demande pas on a beau les signaler rien à y faire pas de violation trouve faite des choses dessus merci,1,1,17/01/2024 15:54,Cette application serai bien mais le gros problème des personne ( pervers) nous envoyer des choses que l on demande pas on a beau les signaler rien à y faire pas de violation trouve faite des choses dessus merci
J'adore Grindr.... Tout se passe bien dessus j'ai aucun mauvais commentaires à faire aujourd'hui 😘💕,5,0,15/01/2024 04:56,J'adore Grindr.... Tout se passe bien dessus j'ai aucun mauvais commentaires à faire aujourd'hui 😘💕
